"Representative rates for the period  April 28, 2013 - March 23, 2021",,,,,,,
,,,,,,,
Date,Australian dollar   (AUD)                     ,Chinese yuan   (CNY)                     ,Euro   (EUR)                     ,Japanese yen   (JPY)                     ,Swiss franc   (CHF)                     ,U.K. pound   (GBP)                     ,U.S. dollar   (USD)                     
23-Oct-2014,0.8763,6.1459,1.2669,107.18,0.9523,1.6007,1
24-Oct-2014,0.8758,6.1467,1.2659,108,0.9534,1.604,1
27-Oct-2014,0.8817,6.1446,1.2679,108,0.9513,1.6095,1
28-Oct-2014,0.8817,6.1421,1.2748,107.95,0.9499,1.6114,1
29-Oct-2014,0.8868,6.1405,1.2737,108.13,0.9469,1.6116,1
30-Oct-2014,0.8768,6.1457,1.2598,109,0.9579,1.5986,1
31-Oct-2014,0.8805,6.1461,1.2524,110.57,0.9589,1.6004,1
3-Nov-2014,0.8736,6.1525,1.2493,,0.965,1.6001,1
4-Nov-2014,0.8721,6.1543,1.2514,113.6,0.963,1.5999,1
5-Nov-2014,0.8733,6.1503,1.248,113.7,0.9651,1.589,1
6-Nov-2014,0.8608,6.1565,1.2517,114.69,0.9626,1.5955,1
7-Nov-2014,0.8544,6.1602,1.2393,115.15,0.9714,1.583,1
10-Nov-2014,0.8671,6.1377,1.2486,114.17,0.9637,1.59,1
11-Nov-2014,0.8622,6.1413,1.2424,114.76,0.9687,1.5866,1
12-Nov-2014,0.8675,6.1428,1.2467,115.8,0.9647,1.5841,1
13-Nov-2014,0.8701,6.1418,1.2456,115.55,0.9642,1.5753,1
14-Nov-2014,0.8691,6.1399,1.2436,116.13,0.9655,1.5655,1
17-Nov-2014,0.8788,6.1409,1.2496,116.99,0.9617,1.5642,1
18-Nov-2014,0.8721,6.143,1.2514,116.6,0.9601,1.5668,1
19-Nov-2014,0.8665,6.1397,1.2535,117.1,0.9587,1.5684,1
20-Nov-2014,0.8593,6.1417,1.2539,118.2,0.9582,1.5688,1
21-Nov-2014,0.8633,6.1387,1.2422,118.09,0.9682,1.5664,1
24-Nov-2014,0.8687,6.142,1.241,,0.9691,1.5689,1
25-Nov-2014,0.8593,6.139,1.2424,117.9,0.967,1.567,1
26-Nov-2014,0.8535,6.1354,1.2475,117.84,0.966,1.5745,1
1-Dec-2014,0.8453,6.1369,1.2469,118.89,0.9649,1.5708,1
2-Dec-2014,0.8504,6.1325,1.2424,118.45,0.9679,1.5681,1
3-Dec-2014,0.8407,6.1376,1.2331,119.34,0.9762,1.5658,1
4-Dec-2014,0.8398,6.1411,1.2311,119.9,0.9777,1.5679,1
5-Dec-2014,0.8371,6.1373,1.2362,119.84,0.9734,1.5678,1
8-Dec-2014,0.8277,6.1282,1.2258,121.52,0.98,1.562,1
9-Dec-2014,0.8241,6.1231,1.2369,120.97,0.9735,1.5631,1
10-Dec-2014,0.8321,6.1195,1.2392,119.5,0.9714,1.5694,1
11-Dec-2014,0.8323,6.1153,1.2428,117.63,0.9644,1.5685,1
12-Dec-2014,0.8274,6.1184,1.245,118.88,0.9641,1.5718,1
15-Dec-2014,0.8236,6.1152,1.2426,118.58,0.9664,1.5666,1
16-Dec-2014,0.8223,6.1182,1.2537,117.75,0.9587,1.5737,1
17-Dec-2014,0.8158,6.1137,1.2448,116.91,0.9643,1.5731,1
18-Dec-2014,0.814,6.1195,1.2285,118.8,0.978,1.5654,1
19-Dec-2014,0.8185,6.1205,1.2279,118.98,0.9813,1.5622,1
22-Dec-2014,0.8161,6.122,1.2259,119.45,0.9817,1.5613,1
23-Dec-2014,0.8118,6.123,1.2213,,0.9839,1.5558,1
24-Dec-2014,0.8112,6.1247,1.2219,120.59,0.9858,1.5543,1
29-Dec-2014,0.8137,6.1205,1.2197,120.32,0.9865,1.5546,1
30-Dec-2014,0.813,6.1224,1.216,120.64,0.9889,1.5535,1
31-Dec-2014,0.8202,6.119,1.2141,,0.9891,1.5608,1
5-Jan-2015,0.8061,6.1248,1.1915,120.29,1.0094,1.5254,1
6-Jan-2015,0.8126,6.1256,1.1914,119.3,1.0101,1.5193,1
7-Jan-2015,0.8074,6.1269,1.1831,118.95,1.016,1.5121,1
8-Jan-2015,0.8108,6.1302,1.1768,119.43,1.0205,1.5062,1
9-Jan-2015,0.8138,6.1296,1.1813,119.85,1.0166,1.515,1
12-Jan-2015,0.8244,6.1233,1.1804,,1.0175,1.514,1
13-Jan-2015,0.8172,6.1195,1.1782,117.95,1.0185,1.5142,1
14-Jan-2015,0.8099,6.1205,1.1775,117.5,1.0221,1.5192,1
15-Jan-2015,0.8204,6.1193,1.1708,117.7,0.8756,1.5235,1
16-Jan-2015,0.8238,6.1188,1.1588,116.41,0.8753,1.5203,1
20-Jan-2015,0.8175,6.1226,1.1579,117.88,0.8724,1.5143,1
21-Jan-2015,0.8212,6.1268,1.1593,117.8,0.866,1.5116,1
22-Jan-2015,0.8071,6.1247,1.1618,118.12,0.8549,1.5179,1
23-Jan-2015,0.7987,6.1342,1.1198,118.5,0.8739,1.4972,1
26-Jan-2015,,6.1384,1.1244,117.5,0.8906,1.5014,1
27-Jan-2015,0.7941,6.1364,1.1306,118.6,0.9021,1.508,1
28-Jan-2015,0.7991,6.1282,1.1344,117.8,0.9017,1.5195,1
29-Jan-2015,0.7869,6.1335,1.1315,117.74,0.9161,1.513,1
30-Jan-2015,0.7781,6.137,1.1305,118.22,0.9237,1.5082,1
2-Feb-2015,0.7769,6.1385,1.131,117.44,0.9313,1.5025,1
3-Feb-2015,0.7659,6.1369,1.1376,117.22,0.9277,1.506,1
4-Feb-2015,0.782,6.1318,1.1446,117.82,0.9269,1.5205,1
5-Feb-2015,0.7769,6.1366,1.141,117.29,0.9279,1.5245,1
6-Feb-2015,0.783,6.1261,1.1447,117.48,0.9217,1.5332,1
9-Feb-2015,0.7761,6.1311,1.1275,118.9,0.9262,1.5221,1
10-Feb-2015,0.7826,6.1295,1.1297,118.5,0.9253,1.5214,1
11-Feb-2015,0.7769,6.1315,1.1314,,0.9267,1.5292,1
12-Feb-2015,0.7648,6.1333,1.1328,120.28,0.9312,1.5338,1
13-Feb-2015,0.7783,6.1288,1.1381,118.99,0.9287,1.5386,1
17-Feb-2015,,,1.1415,118.34,,1.539,1
18-Feb-2015,0.7827,,1.1372,119.25,0.9399,1.5422,1
19-Feb-2015,0.7794,,1.1387,118.75,0.9475,1.5456,1
20-Feb-2015,0.781,,1.1298,118.89,0.9512,1.5368,1
23-Feb-2015,0.7834,,1.1298,119.07,0.9493,1.5361,1
24-Feb-2015,0.7773,6.133,1.1328,118.91,0.9494,1.5447,1
25-Feb-2015,0.7886,6.1384,1.1346,118.8,0.9496,1.5498,1
26-Feb-2015,0.7857,6.1379,1.1317,118.95,0.9466,1.5515,1
27-Feb-2015,0.7792,6.1475,1.124,119.26,0.9488,1.5429,1
2-Mar-2015,0.7768,6.1513,1.1227,119.86,0.9561,1.5404,1
3-Mar-2015,0.7826,6.1543,1.1168,119.77,0.9606,1.5366,1
4-Mar-2015,0.7812,6.1525,1.1124,119.57,0.9623,1.5341,1
5-Mar-2015,0.782,,1.1069,119.8,0.969,1.5244,1
6-Mar-2015,0.7805,6.1533,1.0963,120.05,0.9779,1.5176,1
9-Mar-2015,0.7694,6.1563,1.086,121.03,0.9843,1.5103,1
10-Mar-2015,0.7646,6.1572,1.0738,121.46,0.9944,1.5043,1
11-Mar-2015,0.7604,6.1597,1.0578,121.22,1.006,1.5053,1
12-Mar-2015,0.7604,6.1617,1.0613,121.62,1.001,1.4986,1
13-Mar-2015,0.7671,6.1588,1.0572,121.43,1.0076,1.4802,1
16-Mar-2015,0.7642,6.1615,1.0557,121.4,1.0049,1.4786,1
17-Mar-2015,0.7635,6.1585,1.0635,121.4,1.0028,1.475,1
18-Mar-2015,0.7621,6.1556,1.0592,121.33,1.0028,1.4635,1
19-Mar-2015,0.7732,6.146,1.0677,120.5,0.9893,1.4895,1
20-Mar-2015,0.7678,6.1496,1.0776,120.72,0.9862,1.4776,1
23-Mar-2015,0.7822,6.1448,1.0912,119.96,0.9724,1.491,1
24-Mar-2015,0.7861,6.1398,1.095,119.76,0.9571,1.4911,1
25-Mar-2015,0.7873,6.141,1.0985,119.78,0.957,1.4915,1
26-Mar-2015,0.7817,6.1375,1.0973,119.3,0.954,1.4929,1
27-Mar-2015,0.7804,6.1397,1.0856,119.2,0.9655,1.4905,1
30-Mar-2015,0.7716,6.1402,1.0845,119.24,,1.4801,1
31-Mar-2015,0.7634,6.1422,1.0759,120.11,0.9728,1.48,1
1-Apr-2015,0.7639,6.1434,1.0755,119.95,0.9684,1.4774,1
2-Apr-2015,0.7592,6.1396,1.083,119.66,0.9611,1.4785,1
3-Apr-2015,,6.1348,,119.65,0.9595,,1
6-Apr-2015,,,,119.05,0.9513,,1
7-Apr-2015,0.7703,6.1305,1.0847,119.56,0.9614,1.4887,1
8-Apr-2015,0.7674,6.1345,1.0862,120.2,0.9604,1.4943,1
9-Apr-2015,0.7688,6.1338,1.0774,120.31,0.9708,1.4826,1
10-Apr-2015,0.7688,6.137,1.057,120.5,0.9813,1.4625,1
13-Apr-2015,0.7596,6.1395,1.0552,120.18,0.9858,1.4598,1
14-Apr-2015,0.759,,1.0564,119.82,0.9776,1.4649,1
15-Apr-2015,0.7595,6.134,1.0579,119.6,0.9759,1.4738,1
16-Apr-2015,0.7743,6.1305,1.0711,118.99,0.9637,1.4907,1
17-Apr-2015,0.7791,,1.0814,119.04,0.9509,1.5028,1
20-Apr-2015,0.7817,6.1255,1.0723,118.9,0.9594,1.4917,1
21-Apr-2015,0.7696,6.128,1.07,119.4,0.9596,1.4879,1
22-Apr-2015,0.7766,6.129,1.0743,119.7,0.9535,1.5037,1
23-Apr-2015,0.7748,6.1281,1.0772,119.98,0.9644,1.5005,1
24-Apr-2015,0.7778,6.1241,1.0824,119.5,0.9546,1.5115,1
27-Apr-2015,0.7827,6.122,1.0822,118.94,0.9557,1.5133,1
28-Apr-2015,0.7879,6.1209,1.0927,119.1,0.9562,1.5289,1
29-Apr-2015,0.7993,6.1169,1.1002,,0.9549,1.5368,1
30-Apr-2015,0.7981,6.1137,1.1215,118.51,0.9357,1.5426,1
1-May-2015,0.7903,,,119.65,,1.5277,1
4-May-2015,0.7835,6.1165,1.1152,,0.9352,,1
5-May-2015,0.7894,6.118,1.1117,,0.9337,1.5132,1
6-May-2015,0.7957,6.1156,1.123,,0.9238,1.5225,1
7-May-2015,0.7983,6.1113,1.1305,119.4,0.908,1.5219,1
8-May-2015,0.7901,6.1147,1.1221,119.85,0.9244,1.5424,1
11-May-2015,0.7885,6.1132,1.1142,119.75,0.9318,1.548,1
12-May-2015,0.7927,6.1155,1.1239,120.2,0.9235,1.5672,1
13-May-2015,0.7967,6.1123,1.1221,119.76,0.9279,1.5682,1
14-May-2015,0.8122,6.1093,1.1419,119,0.9086,1.5797,1
15-May-2015,0.8043,6.1085,1.1328,119.38,0.9201,1.5723,1
18-May-2015,0.8015,6.1079,1.1389,119.64,0.9175,1.5684,1
19-May-2015,0.8001,6.1098,1.118,119.95,0.9305,1.552,1
20-May-2015,0.7915,6.1125,1.1118,120.87,0.9393,1.5521,1
21-May-2015,0.7901,6.1139,1.1133,121.05,0.9322,1.5688,1
22-May-2015,0.7923,6.1131,1.1164,121.04,0.9304,1.5645,1
26-May-2015,0.783,6.1172,1.0926,121.74,0.9483,1.5414,1
27-May-2015,0.7756,6.1198,1.0863,122.99,0.9502,1.5385,1
28-May-2015,0.7705,6.1202,1.0896,123.7,0.9464,1.5292,1
29-May-2015,0.7663,6.1196,1.097,123.75,0.9417,1.5248,1
1-Jun-2015,0.765,6.1207,1.0944,124.2,0.9455,1.5206,1
2-Jun-2015,0.7684,6.1225,1.1029,125,0.9402,1.5238,1
3-Jun-2015,0.7799,6.1176,1.1134,123.85,0.9369,1.5284,1
4-Jun-2015,0.7725,6.1164,1.1317,124.32,0.9298,1.5433,1
5-Jun-2015,0.7699,6.1181,1.1218,124.48,0.9345,1.53,1
8-Jun-2015,,6.1205,1.1162,125.35,0.9399,1.5237,1
9-Jun-2015,0.7692,6.1179,1.1249,124.45,0.9285,1.5291,1
10-Jun-2015,0.7734,6.1173,1.1279,124.4,0.9297,1.5463,1
11-Jun-2015,0.7762,6.115,1.1232,122.97,0.9342,1.5467,1
12-Jun-2015,0.7738,6.1167,1.122,123.5,0.9351,1.5504,1
15-Jun-2015,0.7711,6.1169,1.1218,123.48,0.9334,1.5498,1
16-Jun-2015,0.7754,6.1155,1.1215,123.45,0.9311,1.5584,1
17-Jun-2015,0.7721,6.1158,1.1279,123.43,0.9289,1.5743,1
18-Jun-2015,0.7734,6.1126,1.1404,123.25,0.9174,1.5903,1
19-Jun-2015,0.7765,6.1104,1.1299,122.97,0.9234,1.5843,1
22-Jun-2015,0.7794,,1.1345,123.07,0.9207,1.5818,1
23-Jun-2015,0.7717,6.1119,1.1204,123.62,0.9325,1.5778,1
24-Jun-2015,0.7723,6.1142,1.1213,123.88,0.932,1.5756,1
25-Jun-2015,0.7741,6.1148,1.1206,123.87,0.9393,1.5711,1
26-Jun-2015,0.7718,6.1137,1.1202,123.53,0.9311,1.5741,1
29-Jun-2015,0.7649,6.1168,1.1133,122.99,0.9341,1.5693,1
30-Jun-2015,0.768,6.1136,1.1189,122.45,0.9302,1.5718,1
1-Jul-2015,0.7713,6.1149,1.11,122.65,0.9421,1.5659,1
2-Jul-2015,0.7649,6.1171,1.1066,123.37,0.9498,1.5595,1
6-Jul-2015,0.7492,6.1172,1.1008,122.55,0.9455,1.5558,1
7-Jul-2015,0.7489,6.1166,1.0931,122.7,0.9484,1.5459,1
8-Jul-2015,0.7409,6.1175,1.1024,122.05,0.9455,1.5362,1
9-Jul-2015,0.7479,6.1151,1.1054,120.78,0.9502,1.5383,1
10-Jul-2015,0.7486,6.1153,1.1185,121.63,0.936,1.5523,1
13-Jul-2015,0.7449,6.1133,1.1049,122.5,0.947,1.5559,1
14-Jul-2015,0.7426,6.1165,1.1031,123.69,0.946,1.5572,1
15-Jul-2015,0.7462,6.1152,1.1009,123.45,0.9472,1.5634,1
16-Jul-2015,0.7358,6.1173,1.0867,123.87,0.9571,1.5614,1
17-Jul-2015,0.7414,6.1192,1.0889,124.2,0.9589,1.5603,1
20-Jul-2015,0.7362,6.1197,1.0852,,0.9629,1.5563,1
21-Jul-2015,0.7351,6.1199,1.0867,124.36,0.961,1.5545,1
22-Jul-2015,0.741,6.1168,1.0902,123.8,0.9598,1.5606,1
23-Jul-2015,0.7374,6.1172,1.0999,124.07,0.9551,1.5593,1
24-Jul-2015,0.7299,6.1169,1.0939,123.99,0.9608,1.5493,1
27-Jul-2015,0.7289,6.1176,1.1058,123.65,0.9567,1.5512,1
28-Jul-2015,0.7306,6.1154,1.1025,123.13,0.9653,1.5591,1
29-Jul-2015,0.7321,6.115,1.103,123.54,0.9619,1.5641,1
30-Jul-2015,0.7315,6.1165,1.0955,124.16,0.9712,1.5618,1
31-Jul-2015,0.7294,6.1172,1.0967,123.97,0.9623,1.5574,1
3-Aug-2015,,6.1169,1.0951,124.07,0.9672,1.56,1
4-Aug-2015,0.737,6.1177,1.0973,124.05,0.9684,1.5596,1
5-Aug-2015,0.7359,6.1186,1.0883,124.3,0.9795,1.5591,1
6-Aug-2015,0.7335,6.1181,1.0885,124.75,0.9821,1.5588,1
7-Aug-2015,0.7367,6.1174,1.0941,124.79,0.9831,1.551,1
10-Aug-2015,0.7397,6.1162,1.096,124.4,0.985,1.5471,1
11-Aug-2015,0.7316,6.2298,1.1055,124.8,0.9847,1.5577,1
12-Aug-2015,0.7268,6.3306,1.1155,125.2,0.976,1.5587,1
13-Aug-2015,0.738,6.401,1.1109,124.3,0.9791,1.5626,1
14-Aug-2015,0.7375,6.3975,1.1171,124.41,0.9738,1.563,1
17-Aug-2015,0.7375,6.3969,1.11,124.4,0.9771,1.563,1
18-Aug-2015,0.7365,6.3966,1.106,124.45,0.9781,1.5704,1
19-Aug-2015,0.7331,6.3963,1.1041,124.33,0.9732,1.567,1
20-Aug-2015,0.7346,6.3915,1.1183,123.94,0.9626,1.5649,1
21-Aug-2015,0.7311,6.3864,1.1281,123.3,0.9534,1.5687,1
24-Aug-2015,0.7234,6.3862,1.1497,120.9,0.9399,1.5717,1
25-Aug-2015,0.7185,6.3987,1.1506,119.5,0.942,1.5792,1
26-Aug-2015,0.7139,6.4043,1.1402,119.5,0.9441,1.5625,1
27-Aug-2015,0.7114,6.4085,1.1284,120.2,0.9541,1.5453,1
28-Aug-2015,0.7168,6.3986,1.1268,121.12,0.96,1.5389,1
31-Aug-2015,0.7149,6.3893,1.1215,121.2,0.9644,,1
1-Sep-2015,0.7126,6.3752,1.1236,121,0.9625,1.5353,1
2-Sep-2015,0.7021,6.3619,1.1255,120.27,0.9649,1.5276,1
3-Sep-2015,0.7,,1.1229,120.6,0.9708,1.5281,1
4-Sep-2015,0.6972,,1.1138,119.94,0.9744,1.5227,1
8-Sep-2015,0.6953,6.3639,1.1162,119.41,0.9781,1.5372,1
9-Sep-2015,0.7057,6.3632,1.1139,120.24,0.9764,1.536,1
10-Sep-2015,0.7014,6.3772,1.1185,120.2,0.9771,1.5386,1
11-Sep-2015,0.7063,6.3719,1.1268,120.78,0.9773,1.5419,1
14-Sep-2015,0.7077,6.3709,1.1305,120.7,0.9696,1.5431,1
15-Sep-2015,0.7114,6.3665,1.132,120.63,0.97,1.5428,1
16-Sep-2015,0.7137,6.3712,1.1228,120.33,0.9754,1.543,1
17-Sep-2015,0.7187,6.367,1.1312,120.59,0.9686,1.5531,1
18-Sep-2015,0.7209,6.3607,1.1419,119.8,0.9549,1.5638,1
21-Sep-2015,0.717,6.3676,1.125,,0.9672,1.5533,1
22-Sep-2015,0.7139,6.3721,1.1155,,0.9737,1.544,1
23-Sep-2015,0.703,6.3773,1.115,,0.976,1.5314,1
24-Sep-2015,0.6998,6.3791,1.1241,120.19,0.9743,1.5269,1
25-Sep-2015,0.7013,6.3785,1.1151,120.35,0.9756,1.5219,1
28-Sep-2015,0.702,6.3729,1.117,120.4,0.9804,1.5197,1
29-Sep-2015,0.6949,6.366,1.1204,119.75,0.9728,1.5191,1
30-Sep-2015,0.701,6.3613,1.1203,119.95,0.9734,1.5199,1
1-Oct-2015,0.7055,,1.1153,120.2,0.9782,1.5134,1
2-Oct-2015,0.7038,,1.116,119.85,0.9792,1.5149,1
5-Oct-2015,,,1.1236,120,0.9719,1.5191,1
6-Oct-2015,0.713,,1.1224,120.47,0.9748,1.5163,1
7-Oct-2015,0.7178,,1.1266,119.94,0.9674,1.5313,1
8-Oct-2015,0.7173,6.3505,1.1254,120.02,0.9676,1.5344,1
9-Oct-2015,0.7284,6.3493,1.1362,119.97,0.9605,1.5338,1
13-Oct-2015,0.7316,6.3231,1.1374,119.85,0.9599,1.5243,1
14-Oct-2015,0.7226,6.3408,1.141,119.56,0.9558,1.536,1
15-Oct-2015,0.7318,6.3402,1.1439,118.98,0.9508,1.5487,1
16-Oct-2015,0.728,6.3436,1.136,119.08,0.9544,1.5449,1
19-Oct-2015,0.7275,6.3527,1.1333,119.31,0.9562,1.5494,1
20-Oct-2015,0.727,6.3614,1.1373,119.5,0.9507,1.548,1
21-Oct-2015,0.7274,6.3473,1.1354,119.9,0.9581,1.5452,1
22-Oct-2015,0.7203,6.3497,1.1313,119.9,0.9623,1.5479,1
23-Oct-2015,0.725,6.3595,1.1084,120.94,0.9742,1.5388,1
26-Oct-2015,0.7255,6.3549,1.1011,121.15,0.9817,1.5343,1
27-Oct-2015,0.7232,6.3494,1.1061,120.77,0.9842,1.5333,1
28-Oct-2015,0.7121,6.3536,1.1085,120.35,0.9847,1.5291,1
29-Oct-2015,0.7103,6.3596,1.093,120.69,0.9898,1.5262,1
30-Oct-2015,0.7099,6.3495,1.1017,120.87,0.9889,1.5349,1
2-Nov-2015,0.714,6.3154,1.1032,120.45,0.987,1.5465,1
3-Nov-2015,0.7202,6.331,1.0976,,0.9902,1.5399,1
4-Nov-2015,0.7205,6.3343,1.0935,121.2,0.9901,1.542,1
5-Nov-2015,0.715,6.3381,1.0883,121.51,0.9962,1.539,1
6-Nov-2015,0.7144,6.3459,1.0864,121.7,0.9961,1.5139,1
9-Nov-2015,0.7058,6.3578,1.0776,123.31,1.0028,1.5104,1
10-Nov-2015,0.7047,6.3602,1.0711,123.17,1.0046,1.5106,1
11-Nov-2015,0.7068,6.3614,1.0716,122.88,1.0065,1.5161,1
12-Nov-2015,0.7139,6.3628,1.0726,122.83,1.005,1.5185,1
13-Nov-2015,0.7135,6.3655,1.0764,122.56,1.0014,1.5221,1
16-Nov-2015,0.7115,6.375,1.0723,122.52,1.0057,1.5195,1
17-Nov-2015,0.7089,6.374,1.067,123.38,1.0128,1.5201,1
18-Nov-2015,0.7097,6.3796,1.0666,123.39,1.015,1.5212,1
19-Nov-2015,0.717,6.3791,1.0687,123.25,1.0165,1.5265,1
20-Nov-2015,0.7194,6.378,1.0688,122.94,1.0163,1.5272,1
23-Nov-2015,0.718,6.3867,1.0631,,1.0217,1.5126,1
24-Nov-2015,0.7196,6.3888,1.0651,122.75,1.0179,1.511,1
25-Nov-2015,0.7265,6.3877,1.0586,122.42,1.021,1.5061,1
30-Nov-2015,0.7189,6.3976,1.0579,122.8,1.0311,1.5006,1
1-Dec-2015,0.7264,6.3986,1.06,123.15,1.0288,1.5078,1
2-Dec-2015,0.7306,6.3986,1.0612,122.92,1.0264,1.5033,1
3-Dec-2015,0.7315,6.3977,1.0671,123.29,1.024,1.4933,1
4-Dec-2015,0.7322,6.3981,1.0902,122.6,0.9995,1.5116,1
7-Dec-2015,0.7332,6.4083,1.0809,123.28,1.0015,1.5063,1
8-Dec-2015,0.7229,6.4182,1.0875,123.14,0.9974,1.5,1
9-Dec-2015,0.722,6.4248,1.0941,122.98,0.9917,1.5072,1
10-Dec-2015,0.7285,6.4367,1.0943,121.61,0.9862,1.5176,1
11-Dec-2015,0.7246,6.4551,1.095,121.92,0.987,1.515,1
14-Dec-2015,0.7196,6.4583,1.0983,120.92,0.9824,1.512,1
15-Dec-2015,0.725,6.4611,1.099,121.12,0.9846,1.5156,1
16-Dec-2015,0.7204,6.4706,1.0933,121.88,0.9898,1.5025,1
17-Dec-2015,0.7182,6.482,1.0841,122.5,0.9974,1.4916,1
18-Dec-2015,0.7134,6.4813,1.0836,122.5,0.9945,1.4918,1
21-Dec-2015,0.7162,6.4809,1.087,121.25,0.9948,1.4898,1
22-Dec-2015,0.7222,6.4783,1.0952,121.25,0.9902,1.4873,1
23-Dec-2015,0.7233,6.4765,1.0916,,0.9886,1.4888,1
24-Dec-2015,0.7255,6.4783,1.0947,120.9,0.9863,1.4921,1
28-Dec-2015,,6.4869,1.0962,120.44,0.9873,,1
29-Dec-2015,0.7263,6.4874,1.0952,120.33,0.9886,1.4824,1
30-Dec-2015,0.7288,6.4902,1.0926,120.5,0.9905,1.481,1
31-Dec-2015,0.7306,6.4915,1.0887,,0.9921,1.4819,1
4-Jan-2016,0.7223,6.5126,1.0898,119.51,0.9986,1.477,1
5-Jan-2016,0.721,6.5196,1.0746,119.52,1.01,1.4669,1
6-Jan-2016,0.7123,6.5523,1.0742,118.5,1.0087,1.4663,1
7-Jan-2016,0.7041,6.5937,1.0868,118,1.0003,1.4566,1
8-Jan-2016,0.7061,6.5888,1.0861,118.3,0.9992,1.4602,1
11-Jan-2016,0.6976,6.5848,1.0888,,0.9962,1.4568,1
12-Jan-2016,0.698,6.5766,1.0836,117.79,1,1.4432,1
13-Jan-2016,0.7033,6.5769,1.0816,118.23,1.0075,1.4392,1
14-Jan-2016,0.693,6.5883,1.0893,117.38,1.0019,1.4384,1
15-Jan-2016,0.6948,6.587,1.0914,118.14,1.0042,1.4352,1
19-Jan-2016,0.6875,6.5795,1.0868,117.58,1.0063,1.4302,1
20-Jan-2016,0.6867,6.5793,1.0907,117,1.0027,1.4157,1
21-Jan-2016,0.6905,6.5794,1.0893,117.25,1.0055,1.4119,1
22-Jan-2016,0.7006,6.5796,1.0808,117.8,1.0122,1.4292,1
25-Jan-2016,0.7025,6.5792,1.0815,118.6,1.0145,1.4235,1
26-Jan-2016,,6.5797,1.0837,118.14,1.0162,1.4235,1
27-Jan-2016,0.7021,6.5795,1.0888,118.27,1.0156,1.4308,1
28-Jan-2016,0.7046,6.5758,1.0903,118.5,1.0139,1.4307,1
29-Jan-2016,0.71,6.5763,1.092,121,1.0198,1.4304,1
1-Feb-2016,0.7072,6.5785,1.0884,121.3,1.0215,1.4272,1
2-Feb-2016,0.7077,6.5795,1.0919,120.6,1.0223,1.4424,1
3-Feb-2016,0.7015,6.5791,1.0933,119.6,1.0164,1.4499,1
4-Feb-2016,0.7171,6.578,1.1206,118.05,1.001,1.4597,1
5-Feb-2016,0.719,6.5696,1.1202,116.82,0.9916,1.4529,1
8-Feb-2016,0.709,,1.1101,117.23,0.9959,1.4419,1
9-Feb-2016,0.703,,1.1236,115.3,0.9803,1.4423,1
10-Feb-2016,0.7052,,1.1257,114.75,0.9738,1.4518,1
11-Feb-2016,0.709,,1.1347,,0.9701,1.4421,1
12-Feb-2016,0.7104,,1.1275,112.35,0.9747,1.4534,1
16-Feb-2016,0.7155,6.5118,1.1166,114.63,0.9873,1.4421,1
17-Feb-2016,0.709,6.5254,1.1136,113.8,0.9903,1.4311,1
18-Feb-2016,0.7155,6.5185,1.1084,113.98,0.9945,1.437,1
19-Feb-2016,0.7107,6.5201,1.1096,112.9,0.9937,1.4288,1
22-Feb-2016,0.7167,6.5193,1.1026,112.92,0.9969,1.4122,1
23-Feb-2016,0.7231,6.528,1.1002,112.2,0.9949,1.411,1
24-Feb-2016,0.7181,6.5325,1.0981,111.97,0.9943,1.3883,1
25-Feb-2016,0.7175,6.5339,1.1027,112.12,0.9911,1.3951,1
26-Feb-2016,0.724,6.5369,1.1006,112.85,0.9914,1.3962,1
29-Feb-2016,0.714,6.5476,1.0888,113.4,1.0019,1.3854,1
1-Mar-2016,0.7132,6.5432,1.0872,112.4,0.999,1.3972,1
2-Mar-2016,0.7231,6.5519,1.0856,114,0.999,1.4001,1
3-Mar-2016,0.7308,6.5438,1.0901,114.1,0.997,1.4055,1
4-Mar-2016,0.7365,6.524,1.097,113.64,0.9926,1.4147,1
7-Mar-2016,0.7414,6.5149,1.0953,113.7,0.9998,1.4154,1
8-Mar-2016,0.7434,6.5043,1.1028,112.9,0.9938,1.4219,1
9-Mar-2016,0.7428,6.5147,1.0973,112.52,1.0015,1.4219,1
10-Mar-2016,0.7473,6.5158,1.0857,113.3,0.9983,1.4207,1
11-Mar-2016,0.7488,6.495,1.109,113.28,0.9868,1.43,1
14-Mar-2016,0.7587,6.495,1.1119,113.87,0.9876,1.4345,1
15-Mar-2016,0.7489,6.5092,1.1109,113.87,0.9871,1.416,1
16-Mar-2016,0.7453,6.5213,1.1064,113.45,0.9882,1.4097,1
17-Mar-2016,0.7591,6.4958,1.1311,112.71,0.9687,1.4363,1
18-Mar-2016,0.7645,6.4699,1.1279,111.3,0.9678,1.4468,1
21-Mar-2016,0.7584,6.486,1.1271,,0.9692,1.4393,1
22-Mar-2016,0.759,6.4882,1.1212,111.95,0.9704,1.4293,1
23-Mar-2016,0.7615,6.4959,1.1171,112.39,0.9738,1.4175,1
24-Mar-2016,0.7492,6.5118,1.1154,112.83,0.9758,1.4122,1
25-Mar-2016,,6.5164,,113,0.977,,1
28-Mar-2016,,6.5127,,113.5,0.9768,,1
29-Mar-2016,0.7553,6.511,1.1194,113.61,0.9742,1.4263,1
30-Mar-2016,0.7618,6.475,1.1324,112.6,0.9635,1.4407,1
31-Mar-2016,0.7657,6.4673,1.1385,112.63,0.962,1.4403,1
1-Apr-2016,0.7651,6.4644,1.1432,112.2,0.9591,1.4286,1
